Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
#1 Bear,Bear,5,$1200- 4000,$650-1800,$225-500,None,253 Ty Reps/Buyers will pay more if it includes the original box and planner.
#1 Teacher,Bear,13,$6-10,$1-5,$1-3,44054,Ty Store
123's,Bear,15,$3-8,$1-5,$1-3,40655,
1997 Teddy (Holiday),Bear,4,$2-10,$1-3,$1,4200,
1998 Holiday Teddy,Bear,5,$2-10,$1-3,$1,4204,
1999 Holiday Teddy,Bear,5,$2-10,$1-3,$1,4257,
1999 Signature Bear,Bear,5,$2-10,$1-3,$1,4228,
2000 Holiday Teddy,Bear,"6,7",$2-10,$1-3,$1,4332,
2000 Signature Bear,Bear,"6,7",$2-10,$1-3,$1,4266,
2001 Holiday Teddy,Bear,"7,9",$2-10,$1-3,$1,4395,
2001 Signature Bear,Bear,"7,9",$2-10,$1-3,$1,4375,
2002 Holiday Teddy,Bear,"7,10",$2-10,$1-3,$1,4564,
2002 Signature Bear,Bear,"7,10",$2-10,$1-3,$1,4565,
2003 Holiday Teddy,Bear,"7,11",$2-10,$1-3,$1,40028,
2003 Signature Bear,Bear,"7,11",$2-10,$1-3,$1,40011,
2004 Holiday Teddy,Bear,12,$2-10,$1-3,$1,40139,
2004 Signature Bear,Bear,12,$2-10,$1-3,$1,40158,
2005 Holiday Teddy,Bear,13,$2-10,$1-3,$1,40274,
2005 Signature Bear,Bear,13,$2-10,$1-3,$1,40285,
2006 (New Year's Bear),Bear,13,$2-10,$1-3,$1,44064,Ty Store
2006 Holiday Teddy,Bear,14,$2-10,$1-3,$1,40443,
2006 Signature Bear,Bear,14,$2-10,$1-3,$1,40458,
2006 Zodiac Dog,Dog: Sheepdog,13,$25-55,$9-20,$1-10,46051,Asia-Paci c
2007 (New Year's Bear),Bear,14,$2-10,$1-3,$1,44096,Ty Store
2007 Holiday Teddy (green),Bear,15,$2-10,$1-5,$1,40705,
2007 Holiday Teddy (red),Bear,15,$2-10,$1-5,$1,40705,
2007 Signature Bear,Bear,15,$2-10,$1-3,$1,40721,
2007 Zodiac Pig,Pig,14,$30-65,$9-20,$1-10,46088,Asia-Paci c
2008 (New Year's Bear),Bear,15,$4-12,$2-5,$1,44122,Ty Store
2008 Holiday Teddy,Bear,15,$2-10,$1-3,$1,40753,
2008 Zodiac Rat,Rat,15,$30-55,$9-20,$1-10,46122,Asia-Paci c
4-H,Bear,13,$2-7,$1-3,$1,40278,USA
A (A beanie),Bear,Alphabet,$1-3,$1,$1,40501,
ABC's,Bear,15,$2-6,$1-3,$1,40655,
Ace (Dog),Dog,19,$6-10,$3-5,$1-2,40544,
Aces,Bear,14,$6-14,$1-5,$1,40380,Las Vegas/Carlton cards
Aces (with extra tag),Bear,14,$25-40,$10-20,$1,40380,Knott's Berry Farm
Addison (red ribbon outside),Bear,8,$1-5,$1-3,$1,4362,
Addison (white ribbon outside),Bear,8,$1-5,$1-3,$1,4362,
Admiral,Penguin,14,$2-10,$1-5,$1-2,40392,
Admiral (extra tag),Penguin,14,$18-35,$8-12,$1,40392,Santa Barbara Zoo
Adonis,Dog: Valentine,BBOM,$4-10,$1-3,$1,48409,BBOM
Adore,Bear,13,$3-10,$1-3,$1,44043,Ty Store
Ai,Bear,11,$3-10,$2-5,$1,4628,Japan
Ai Motomachi,Bear,11,$55- 130,$18-25,$6-12,4628,Ty Store Japan / High value was authenticated
Alabama,Bear,13,$2-5,$1 -3,$1,40318,
Alabama (Ty Store),Bear,13,$2-5,$1-3,$1,44077,Ty Store
Alacazam,Dog: Halloween,17,$8-12,$1-3,$1,40847,
Alana,Bear,14,$7-12,$2-5,$1,40368,
Alani,Bear,BBOM,$1-3,$1-2,$1,48402,BBOM
Alberta Wild Rose,Bear,13,$5-15,$1-3,$1,46035,Trade Show
Alex,Madagascar,15,$8-15,$1-5,$1,40756,
Allegro,Duck,14,$7-12,$2-4,$1,40341,
All-Star Dad,Bear,14,$4-7,$1-3,$1,40359,
Ally,Alligator,1,$600- 1400,$150- 500,$1-5,4032,Authenticated is the higher side
Ally,Alligator,2,$100- 350,$60- 150,$1-5,4032,Authenticated is the higher side
Ally,Alligator,3,$65- 125,$12-40,$1-5,4032,1st gen tush tag / Authenticated is the higher side
Ally,Alligator,3,$30-60,$12-30,$1-5,4032,2nd gen tush tag / Authenticated is the higher side
Ally,Alligator,4,$3-7,$1-3,$1,4032,
Almond,Bear,5,$3-7,$1-3,$1,4246,
Alpha Key-clip,Bear,14 sm,$5-8,$2-5,$1,46063,Angel Flight Aus.
Alps,Dog: St. Bernard,BBOM,$3-8,$1-3,$1,48404,BBOM
Alvin,Alvin & Chipmunks,15,$9-20,$3-7,$1-5,40799,
"Alvin (Santa, red)",Alvin & Chipmunks,"18, 19",$10-25,$3-7,$1-3,40935,known dealers are getting more $$$
Alvin (with Alvin & Chipmunks DVD),Alvin & Chipmunks,15,$15-25,$9-15,$5-10,47113,DVD store
Always,Bear,12,$5-9,$1-3,$1,40161,
Always (extra FTD tag),Bear,12,$35-45,$12-18,$1,40161,FTD Promo
Amber,Cat,5,$2-5,$1-2,$1,4243,
America (Blue),Bear,"7,9",$5-8,$1,$1,4506,
America (Blue) Japanese Writing,Bear,9,$7-14,$1,$1,4506,Japan
America (Red reversed ears),Bear,10,$25-35,$9-14,$2-5,4412,Ty Store
America (Red with blue right ear),Bear,10,$4-7,$1-3,$1,4412,Ty Store
America (White reversed ears),Bear,10,$2-6,$1-3,$1,4409,Ty Store
America (White with blue right ear),Bear,10,$2-6,$1-3,$1,4409,Ty Store
American,Eagle,15,$4-8,$1-3,$1,40624,
American Blessing,Bear,13,$3-6,$1-3,$1,40238,
American Blessing (with extra tag),Bear,13,$19-25,$7-15,$1,40238,Knott's Berry Farm
Amigo,Dog,11,$3-5,$1-3,$1,4422,Ty Store
Amora,Bear: Valentine,19,$4-8,$1-3,$1,42281,CVS Store
Amore,Dog: Valentine,17,$3-8,$1-3,$2,40886,
Anchor,Whale,14,$5-9,$1-3,$1,40395,
Angel,Moshi Monsters,18,$11-15,$2-5,$1-3,46194,UK exclusive - sell for more in the USA
Angel Key-clip,Moshi Monsters,19 sm,$15-25,$3-7,$1-3,46215,UK exclusive - sell for more in the USA
Anna (The Beanie Babies Collection inside hang tag),Frozen II,Sparkle,$9-12,$3-5,$1-3,2306,"~ 15"" Others in set are The Buddies Collection Inside hang tag"
Ants,Anteater,5,$1-5,$1,$1,4195,
Aotearoa black nose,Bear,13,$20-30,$5-10,$2-5,46044,Asia-Paci c - do not sell on auction. Patience is key with this one.
Aotearoa ag nose,Bear,13,$350- 800,$90- 200,$35- 100,46044,New Zealand - higher side is authenticated
Applejack,My Little Pony,19,$2-5,$1,$1,41013,
Applejack Key-clip,My Little Pony,19 sm,$3-6,$1,$1,41101,
Applejack (Sparkle),My Little Pony,Sparkle,$3-6,$2,$1,41013,Sparkly stands of hair
Applejack Key-clip (Sparkle),My Little Pony,Sparkle,$3-6,$2,$1,41101,Sparkly stands of hair
April (neck ru e),Bear,Birthday,$1-4,$1,$1,4391,
April (party hat),Bear,Birthday,$2-5,$1,$1,4555,
April Fool,Bear,15,$8-15,$2-5,$1-3,44102,Ty Store
Arabesque,Lamb,14,$1-5,$1-3,$1,40339,
Arctic,Polar Bear,19,$7-12,$1-3,$1,42108,
Ari (big eyes),Polar Bear,19,$8-12,$3-4,$2,40173,
Aria,Cat,12,$9-14,$2-5,$1,40092,
Ariel,Bear,"6,7",$2-5,$1,$1,4288,
Arizona,Bear,13,$4-8,$1-3,$1,40300,State
Arlene,Gar eld,12,$6-9,$1-3,$1,40110,
Aruba,Fish,"6,7",$2-5,$1,$1,4314,
Ash,Porcupine/ Sing,19,$5-9,$1-3,$1,41230,From Sing Movie
Astra,Bear,BBOM,$4-18,$1-3,1,48406,BBOM - price depends on amount of glitter and personal preference
Atlanta,Bear,12,$2-5,$1,$1,40090,Trade Show
Atlanta Braves,Bear,19,$9-14,$2-5,$1,41712,
August (neck ru e),Bear,Birthday,$2-7,$1-3,$1,4371,
August (party hat),Bear,Birthday,$2-5,$1-3,$1,4547,
Aurora,Polar Bear,"6,7",$1-5,$1,$1,4271,
Aussie,Koala Bear,BB2.0,$2-6,$1-3,$1,42037,
Aussiebear,Bear,11,$4-8,$1-3,$1,4626,Australia
Austin,Backyardigans,14,$30-45,$8-22,$2-5,40404,
Australia,Bear,13,$5-11,$1-3,$1,46025,Australia
Ava (big eyes),Cat,19,$15-25,$7-18,$3-7,42185,
Avalanche,Dog: Husky,15,$15-25,$5-12,$1-3,40689,
Avalon,Horse,12,$4-7,$1-3,$1,40095,
Aware,Bear,13,$2-5,$1,$1,40271,
Awareness,Bear,14,$3-7,$1,$1,40422,
Axew,Pokemon,18,$35-48,$18-27,$3-12,46184,UK exclusive - sell for more in the USA
B (B beanie),Bear,Alphabet,$1-3,$1,$1,40502,
B. B. Bear,Bear,5,$1-3,$1,$1,4253,
Baaabsy,Lamb,14,$4-9,$1-3,$1,40376,
Baaabsy Baaag,Purse,15,$12-18,$4-12,$1,40448,
Baabet,Lamb,BB2.0,$3-8,$2,$1,42007,
Baboo (big eyes),Panda Bear,19,$6-12,$1-4,$1,41204,
Baboo Key-clip,Panda Bear,19 sm,$5-7,$2,$1,36656,
Baby Boy (2002) it's a boy embroidered on chest,Bear,"7,10",$4-9,$1-3,$1,4534,
Baby Boy (2005) baseball cap & ball,Bear,13,$2-7,$1-3,$1,40223,
"Baby Boy (2006) night cap, pillow",Bear,14,$3-8,$1-3,$1,40424,
Baby Girl (2002) it's a girl embroidered on chest,Bear,"7,10",$3-8,$1-3,$1,4535,
Baby Girl (2005) blanket,Bear,13,$3-8,$1-3,$1,40222,
"Baby Girl (2006) night cap, pillow",Bear,14,$3-8,$1-3,$1,40425,
Baby Jaguar,Go Diego Go,15,$12-22,$7-12,$2-5,40571,
Badges,Dog,13,$4-12,$2-5,$1,40177,
Badtz Maru,Hello Kitty,17,below,below,below,40884,See Hello Kitty
Bahati,Elephant,12,$6-11,$2-5,$1,44204,Ty Store WWF
BALDY (All caps),Eagle,4,$30-60,$18-25,$1,4074,Hang tag name all capital letters. Canada
Baldy,Eagle,"4,5",$2-6,$1-3,$1,4074,
Bali (blue/blue tongue),Komodo Dragon,14,$8-11,$1-3,$1,40385,
Bali (brown/green tongue),Komodo Dragon,13,$4-9,$1-3,$1,40187,
Bali (brown/orange tongue),Komodo Dragon,14,$10-12,$2-5,$1,47029,Shedd Aquarium
Bali Key-clip,Komodo Dragon,14 sm,$7-12,$2-5,$1,47030,Pizza Hut
Ballerina Peppa,Peppa Pig,15,$5-15,$1-3,$1,46151,UK
Baltic (big eyes),Dog: Husky,19,$5-9,$2-4,$2,50043,
Baltimore Ravens,Bear/Football,19,$3-7,$1-3,$1,41717,NFL licensed
Bam,Ram,"7,10",$3-10,$1-3,$1,4544,
Bananas,Orangutan,"6,7",$3-7,$1-3,$1,4316,
Bananas (big eyes),Monkey,19,$3-5,$1-3,$1,42111,
Bandage,Bear,13,$3-7,$1-3,$1,40221,
Bandit (big eyes),Raccoon,"19, 19",$9-15,$3-8,$1-3,42117,
Bandito,Raccoon,"7,10",$2-5,$1-3,$1,4543,
Banjo,Dog: Beagle,12,$6-11,$1-3,$1,40085,
Banjo (2011),Dog: Beagle,"18, 19",$20-35,$9-15,$2-7,42069,
Barbaro,Horse,14,$15-20,$1-10,$1-3,40464,US
Barbaro (Kentucky Derby),Horse,14,$20-35,$11-18,$1-3,40464,Kty Derby
Barker (big eyes),Dog: Spaniel,19,$5-8,$1-3,$1,40131,
Barklowe,Dog,BBOM,$2-5,$1-4,$1,48428,BBOM
Barks (big eyes),Dog,19,$4-9,$1-3,$1,41206,
Barks Key-clip,Dog,19 sm,$4-8,$1-3,$1,36657,
Barley,Horse,15,$2-8,$1-3,$1,40613,
Baron Van Pyre,Bear,15,$7-14,$1-3,$1,40575,
Basilico,Bear,14,$15-25,$7-12,$1-3,46062,Europe
BAT-e,Bat,11,$7-14,$2-5,$1,4429,Ty Store
Batty (Brown),Bat,"4,5",$2-4,$1,$1,4035,
Batty (Tie-dye),Bat,5,$4-7,$1-3,$1,4035,
Baubles (Pinkys),Frog,Pinkys,$5-11,$1-3,$1,40205,
BayStars,Bear,14,$10-15,$6-11,$1-5,46072,Japan
Beak,Kiwi,5,$1-3,$1-3,$1,4211,
Beani,Cat,"7,9",$2-6,$1-3,$1,4397,
Beanie Hawaii,Bear: Elvis,15,$7-12,$5-9,$1-3,40804,
Beanie House Rock,Bear: Elvis,15,$10-15,$2-7,$1-3,40742,
Beanies! Beanies! Beanies!,Bear: Elvis,15,$10-20,$2-7,$1-3,47130,Walgreens / sound MUST work
Bearning Love,Bear: Elvis,15,$8-14,$2-5,$1-3,40742,
Bearon (Brown),Bear,"7,11",$3-5,$1-3,$1,40039,
Bearon (Midwest Airlines) (Brown),Bear,11,$20-30,$12-18,$1,40039,Midwest Airlines
Bearon (Midwest Airlines) (Red),Bear,11,$20-30,$12-18,$1,40039,Midwest Airlines
Bearon (Red),Bear,"7,11",$3-5,$1-3,$1,40039,
Beary Bag,Purse Bear,15,$5-9,$2-5,$1-3,40489,
Beary Much,Bear,15,$3-7,$2-4,$1-3,44100,Ty Store
BEN 10,BEN 10,17,$20-30,$8-$18,$2-7,46160,UK
Bend It Like SpongeBob,SpongeBob,17,below,below,below,40869,UK/see SpongeBob
Benjamin,Bear,13,$1-4,$1-3,$1-3,40239,
Bently,Cat,17,$25-38,$15-22,$2-5,40809,
Bently (San Ysidro Ranch tag),Cat,17,$300- 600,$150- 300,$2-5,47136,San Ysidro Ranch
Bently (Carletto tags),Cat,17,$30-55,$15-30,$1-10,40809,Distributed by CAR- LETTO tags
Bernie,Dog St. Bernard,"4,5",$1-3,$1,$1,4109,
Berry Ice,Bear,15,$12-16,$2-5,$1-3,40678,Trade Show
Beshte (big eyes),Hippopotamus/The Lion Guard,Sparkle,$3-5,$1-3,$1,41196,TV Disney Channel
Bessie,Cow,3,$50- 125,$18-60,$1-5,4009,with a 1st gen tush tag - authenticated is the higher side
Bessie,Cow,3,$35-90,$10-45,$1-5,4009,with a 2nd gen tush tag - authenticated is the higher side
Bessie,Cow,4,$1-5,$1-3,$1,4009,
Bianca,Cat,12,$3-7,$1-3,$1,40156,
Bianca (big eyes) (2012),Cat,19,$12-18,$5-11,$1-3,42056,
Bidder,Bear,12,$5-12,$2-5,$1-3,4980,MBNA
Big Apple,Bear,12,$2-5,$1-3,$1,40120,Trade Show Orders
Big Kiss,Hippopotamus,17,$19-30,$4-14,$1-3,40887,
Bijoux,Dog: Poodle,12,$1-3,$1,$1,40104,
Billingham,Duck,BBOM,$2-5,$1-3,$1,48422,BBOM
Billionaire,Bear,5,$325- 750,$125- 300,$50- 90,None,"""Ty Employees. must be pristine and
 authenticated to obtain the highest prices"""
Billionaire 2,Bear,5,$1400+,$300- 750,$100- 200,None,475 Ty Employees - must be authenticated to obtain the highest prices.
Billionaire 3,Bear,6,$400- 800,$175- 350,$100- 150,None,650 Ty Employees - must be authenticated to obtain the highest prices
Billionaire 4,Bear,9,$350- 415,$125- 200,$100,None,762 Ty Employees
Billionaire 5 (USA),Bear,10,$300- 450,$150- 200,$100,None,"769 Ty Employees USA, Ty Employee Party Event on back, June 30th, 2002"
Billionaire 5 (UK),Bear,7,$300- 450,$150- 200,$100,None,"Ty Employees UK, no event on back, blank, 7G hang tag"
Billionaire 5 (Australia),Bear,10,$300- 450,$150- 200,$100,None,"Ty Employees Australia, sames as USA inside, no event on back, blank"
Billionaire 5 (Korea),Bear,10,no recent sale,not recorded,$100,None,"Ty Employees Korea, Korean writing inside, no event on back, blank"
Billionaire 5 (Japan),Bear,10,no recent sale,not recorded,$100,None,"Ty Employees Japan, Japanese writing inside, no event on back, blank"
Billionaire 6 (USA),Bear,11,$325- 525,"""$150- 275 """,$100,None,696 Ty Employees
Billionaire 6 (UK),Bear,7,$325- 525,"""$150- 275 """,$100,None,Ty Employee UK
Billionaire 7,Bear,12,$300- 475,"""$150- 275 """,$100,None,612 Ty Employees
Billionaire 8,Bear,13,$225- 400,$125- 225,$100,None,480 Ty Employees
Billionaire 9,Bear,14,$250- 400,$150- 200,$100,None,480 Ty Employees
Billionaire 10,Bear,15,$350- 650,$150- 225,$100,None,457 Ty Employees
Billionaire 11,Bear,15,$300- 450,$125- 200,$100,None,469 Ty Employees
Billionaire 12,Bear,16,$250- 500,$175- 250,$100,None,357 Ty Employees
Billionaire 13,Bear,17,$225- 400,$125- 200,$100,None,611 Ty Employees
Billionaire 14,Bear,18,$300- 450,$125- 200,$100,None,588 Ty Employees
Billionaire 15,Bear,19,$300- 450,$125- 200,$100,None,696 Ty Employees
Billioniare 16 (small),Bear,Teeny Ty,$300- 650,$190- 225,$100- 150,None,300 Ty Employees
Billionaire 17,Bear,19,$285- 600,$200- 300,$100- 200,None,300 Ty Employees
Billionaire 18,Bear,Flippables,$300- 800,$200- 300,$100- 200,None,300 Ty Employees
Billionaire 19,Bear,19,$350- 650,$200- 300,$100- 150,None,"400 Ty Employees, 1 seller with multipes has caused a temporary price drop"
Binksy,Bunny Rabbit,13,$4-8,$1-3,$1,40186,
Biscuit,Dog,15,$20-30,$8-15,$1,47092,Bob Evans
Bits,Bear,12,$2-8,$1,$1,49009,
Bits in kit,Bear,12,$7-10,$1,$1,49009,
Bixby,Bear,12,$3-7,$1-3,$1,40152,
Black Panther,Marvel Superhero,19,$8-11,$3-5,$1,41197,"Black Panther movie, not exclusive"
Blackie,Black Bear,1,$900- 2000,$250- 600,$1-5,4011,Must be authenticated
Blackie,Black Bear,2,$175- 300,$50- 125,$1-5,4011,
Blackie,Black Bear,3,$50- 140,$15-50,$1-5,4011,With a 1st gen tush tag - must be authenticated to obtain the higher value
Blackie,Black Bear,3,$30-75,$12-35,$1,4011,"With a 2nd gen tush
 tag - authenticated is the higher side"
Blackie,Black Bear,4,$1-3,$1,$1,4011,
Blackie,Black Bear,5,$1-3,$1,$1,4011,
BLARN-e,Dog: Irish,12,$2-5,$1,$1,4436,Ty Store
Blessed,Bear,"7,11",$3-5,$1,$1,40010,
Bliss,Monkey,15,$8-12,$4-7,$1,40724,
Blissful,Bear,15,$4-8,$1,$1,40628,
Blitz,Bear,13,$4-7,$1-3,$1,40248,
Blizzard,White Tiger,"4,5",$1-3,$1,$1,4163,
Bloom,Bear,"7,11",$3-5,$1,$1,4596,
Bloom (extra FTD tag),Bear,11,$65-95,$35-40,$1,4596,FTD Promo
Bloom eld,Bear,14,$2-4,$1-3,$1,40343,
Blue,Bear,11,$3-5,$1,$1,4424,Ty Store
Blue,Blue's Clues,14,$18-30,$10-20,$2-8,40344,
Blue (extra USPS tag),Blue's Clues,14,$45-70,$40,$1,48324,USPS Promo
Blue Angel Hello Kitty,Hello Kitty,16,below,below,below,46136,UK see Hello Kitty
Blue Beanie Shoes,Bear: Elvis,14,$12-20,$4-10,$1,40742,
Bluebonnet,Bear,14,$4-7,$1-3,$1,40351,
Bo,Dog: Brown Dalmatian,"7,11",$2-6,$1-3,$1,4595,
"Bo (1st) Yellow Code Tag, Red middle of ribbon",Portuguese Water Dog,BB2.0,$150- 200,$50- 100,$20,42000,"Limited, Rare ""Beanie Bo"" on TT, Birthday at top"
Bo (2nd) Yellow Code Tag Red middle of ribbon,Portuguese Water Dog,BB2.0,$50- 100,$15-30,$1,42000,"Limited, Birthday at bottom"
Bo (3rd) Yellow Code Tag White middle of ribbon,Portuguese Water Dog,BB2.0,$40-75,$12-24,$1,42000,"Limited, Birthday at top"
Bo (4th) Bone Code Tag White middle of ribbon,Portuguese Water Dog,BB2.0,$10-17,$5-8,$1,42000,"Beanie Babies 2.0TM on TT, Birthday at bottom"
Bo (5th) No Code Tag after 1/18/12 White middle of ribbon,Portuguese Water Dog,BB2.0,$5-12,$5-6,$1,42000,"Beanie Babies 2.0TM on TT, Birthday at bottom"
Bo Clip (blue),Portuguese Water Dog,15 sm,$6-9,$3-4,$2,40798,
Bo Clip (red),Portuguese Water Dog,15 sm,$6-9,$3-4,$2,40798,
Bo Clip (white),Portuguese Water Dog,15 sm,$6-9,$3-4,$2,40798,
Bo Set of 3 Key-clips,Portuguese Water Dog,set,$24-27,$9-12,$6,"set of: blue, red, white Keyfllips",
Bo (big eyes),Gorilla,19,$6-10,$1-5,$2,42301,
Bodkin,Boblins,15,$5-10,$1-3,$1,40634,"Canada, Australia, New Zealand, Ty Store"
Bones,Hound Dog,1,$700- 1400,$200- 500,$1-5,4001,Authenticated is the higher side
Bones,Hound Dog,2,$125- 250,$50- 125,$1-5,4001,Authenticated is the higher side
Bones,Hound Dog,3,$40- 125,$15-70,$1-5,4001,With a 1st gen tush tag - authenticated is the higher side
Bones,Hound Dog,3,$25-70,$10-25,$1,4001,"With a 2nd gen tush
 tag - authenticated is the higher side"
Bones,Hound Dog,4,$1-5,$1,$1,4001,
Bones,Hound Dog,5,$1-5,$1,$1,4001,
Boneses,Bear,15,$15-30,$7-12,$1-3,40788,
Bongo (2009 big eyes),Monkey,15,$25-40,$12-20,$2-9,40781,
Bongo (brown tail),Monkey,3,$50- 125,$18-70,$1-5,4067,with a 1st gen tush tag
Bongo (brown tail),Monkey,3,$22-75,$12-50,$1,4067,with a 2nd gen tush tag
Bongo (brown tail),Monkey,4,$1-5,$1,$1,4067,
Bongo (tan tail),Monkey,3,$50- 125,$18-70,$1-5,4067,with a 1st gen tush tag - authenticated is the higher side
Bongo (tan tail),Monkey,3,$22-75,$12-50,$1,4067,with a 2nd gen tush tag - authenticated is the higher side
Bongo (tan tail),Monkey,4,$1-5,$1,$1,4067,
Bongo (tan tail),Monkey,5,$1-5,$1,$1,4067,
Bonita (Pinkys),Dog,Pinkys,$11-16,$5-9,$1-3,40375,
Bonnet,Bear,13,$3-6,$1,$1,44046,Ty Store
Bonnet (Harrods tag),Bear,13,$4-9,$1-3,$1,44046,Harrods
Bonsai,Monkey,"7,10",$3-5,$1-3,$1,4567,
Bonzer,Dog: Bulldog,15,$19-30,$4-9,$1-3,46110,Beales
Bonzer,Koala Bear,"7,11",$4-7,$1,$1,40022,
Boo Who?,Owl,15,$18-30,$9-15,$1-3,47080,Hallmark
Books (blue backpack),Bear,13,$1-3,$1,$1,40266,
Books (purple back- pack),Bear,13,$1-3,$1,$1,40266,
Books (red backpack),Bear,13,$1-3,$1,$1,40266,
Boomer,Dog,15,$15-30,$9-11,$2-5,40746,
Booties,Cat,"7,10",$4-15,$1-3,$1,4536,known dealers are getting more $$$
Booties (big eyes),Tabby Cat,19,$29-40,$15-19,$3-8,42099,
Boots,Dora the Explorer,15,$4-6,$1-3,$1,40665,
Boots Ice Skating,Dora the Explorer,15,$4-6,$1-3,$1,40693,
Boston,Bear,12,$2-5,$1,$1,40124,Trade Show
Boston Bruins,Bear/Hockey,19,$8,$5,$1,41734,NHL licensed
Boston Red Sox,Bear/Baseball,19,$5,$1,$1,41709,MLB licensed
Bounder,Kangaroo,15,$50-75,$15-35,$5-10,46108,AUS
Bounds,Dog,15,$10-15,$3-6,$2,40653,
Bravo Key-clip,Bear,14 sm,$3-7,$1-3,$1,46087,Australia
Breadcrumbs,Mouse,BBOM,$8-16,$4-7,$1-3,48412,BBOM
Bride,Bear,"7,10",$1-3,$1,$1,4528,
Brigitte,Dog: Poodle,"7,9",$3-5,$1-3,$1,4374,
Britannia (china/embroidered ag),Bear,5,$5-9,$1-3,$1,4601,UK
Britannia (Indo./embroidered ag),Bear,5,$7-10,$3-5,$1,4601,UK
Britannia (patch ag),Bear,5,$15-35,$4-9,$1-3,4601,UK
British Columbia Paci c Dogwood,Bear,13,$1-5,$1,$1,46038,Trade Show
Brittany,Alvin & Chipmunks,15,$3-9,$1-3,$1,40802,known dealers are getting more $$$
Brobee,Yo Gabba Gabba,18,$4-6,$1-3,$1,40914,
Brobee Key-clip,Yo Gabba Gabba,19 sm,$2-5,$1,$1,40980,
Bronty,Brontosaurus,3,$200- 400,$90- 300,$40- 75,4085,with a 1st gen tush tag. Authenticated is the higher end.
Bronty,Brontosaurus,3,$175- 375,$90- 250,$40- 75,4085,with a 2nd gen tush tag. Authenticated is the higher end. Beware - many counterfeits of this one
Brownie,Bear,1,$800- 1800,$250- 550,$1-5,4010,Authenticated is the higher amounts. Not authenticated can be less than half.
Brownie (BBOC),Bear,BBOC,$45-90,$30-50,$10- 18,49030,BBOC
Brownie (big eyes),Bear,19,$4-7,$1-3,$1,42109,
Bruni,Salamander/ Frozen II,Sparkle,$6-10,$4-5,$2,41303,
Bruni (with sound),Salamander/ Frozen II,Sparkle,n/a,n/a,n/a,41269,No sale recorded yet
Bruno,Dog: Terrior,5,$1-3,$1,$1,4183,
Brutus (2006),Dog: Rottweiler,15,$7-12,$1-3,$1,40482,birthday 07/09/06
Brutus (2009),Dog: Rottweiler,16,$15-24,$8-12,$2-5,40803,birthday 07/09/06
Brutus (2010),Dog: Rottweiler,17,$15-20,$5-8,$1-3,40803,birthday 07/09/06
Brutus (2012) (big eyes),Dog: Rottweiler,19,$9-12,$1-3,$1,40803,birthday 12/06/11
Brutus (2014) (big eyes),Dog: Rottweiler,19,$15-25,$7-12,$1-3,40482,birthday 03/26/14
Bubble Gum,Zebra,BB2.0,$20-30,$8-12,$1-5,42039,
Bubbles,Fish,3,$50- 125,$20-50,$1-5,4078,With a 1st gen tush tag - authenticated is the higher side
Bubbles,Fish,3,$40-80,$12-32,$1-5,4078,"With a 2nd gen tush
 tag - authenticated is the higher side"
Bubbles,Fish,4,$1-5,$1,$1,4078,
Bubbly,Bear,11,$1-5,$1,$1,4985,Trade Show
Buck,Weasel/Ice Age,15,$4-7,$1-3,$1,40772,
Buckingham,Bear,7,$5-10,$1-3,$1,4603,UK
Buckley (big eyes),Deer,19,$7-10,$4-5,$2,70008,
Bucky,Beaver,3,$18-50,$8-22,$1-3,4016,Authenticated is the higher side.
Bucky,Beaver,4,$1-3,$1,$1,4016,
Buddy,Dog/The Secret Life of Pets Dog,19,$5-8,$1-3,.$1,41170,
Bu (big eyes),Dog: Husky,19,$4-8,$1-3,$1,42183,
Bugs Bunny,Looney Tunes,18,$16-22,$5-10,$2-5,47149,Walgreens
Bumble,Bee,3,$50- 175,$25-50,$8-25,4045,With a 1st gen tush tag - authenticated is the higher side
Bumble,Bee,3,$35- 100,$20-40,$8-18,4045,"With a 2nd gen tush
 tag - authenticated is the higher side"
Bumble,Bee,4,$35-75,$25-30,$8-25,4045,Authenticated is the higher side
Bunga (big eyes),Honey Badger/The Lion Guard,Sparkle,$3-8,$1-3,$1,41192,TV Disney Channel
Bunga Raya,Bear,10,$1-3,$1,$1,4615,Malaysia
Bunnie,Bunny Rabbit,19,$7-12,$1-3,$1,41701,
Burrows (2010),Meerkat,17,$9-14,$1-5,$1,40878,Birthday 3/3/10
Burrows (2012) redesign,Meerkat,19,$15-25,$8-12,$2,40878,Birthday 12/31/11
Busby,Bear,14,$3-5,$2,$1,40456,
Bushy,Lion,"6,7",$1-3,$1,$1,4285,
Buster,Koala Bear/ Sing,19,$3-5,$1-3,$1,41229,
Buster (brown),Bunny Rabbit,19,$8-10,$4-5,$2,42115,
Butch,Dog Bull Terrier,5,$1-3,$1,$1,4227,
Buttercream,Bunny Rabbit,BBOM,$2-5,$1,$1,4803,BBOM
Buttercup (big eyes),Gira e,19,$18-25,$10-15,$3-5,42019,Santa Barbara Zoo
Buzz Buzzard,Woody Woodpecker Bird,19,$50-95,$25-40,$5-10,42259,Brazil
Buzzie,Bee,"7,8",$1-5,$1,$1,4354,
Buzzy,Buzzard,"6,7",$1-3,$1,$1,4308,
C (C beanie),Bear,Alphabet,$1-3,$1,$1,40503,
Cabaret,Cat,14,$12-19,$3-7,$1-3,40415,
